image,label
10000,6
10001,5
10002,4
10003,3
10004,3
10005,6
10006,1
10007,5
10008,6
10009,1
10010,3
10011,2
10012,6
10013,3
10014,3
10015,2
10016,3
10017,1
10018,6
10019,1
10020,5
10021,3
10022,6
10023,6
10024,6
10025,4
10026,3
10028,6
10029,6
10030,1
10031,6
10032,5
10033,3
10034,3
10035,6
10036,4
10038,4
10039,5
10040,3
10041,3
10042,1
10044,3
10046,6
10047,1
10048,2
10049,3
10050,3
10051,3
10052,5
10053,6
10054,6
10055,6
10056,4
10057,3
10058,5
10059,5
10060,6
10061,3
10062,4
10064,6
10065,4
10066,3
10067,3
10068,3
10069,3
10070,3
10071,4
10072,5
10073,6
10074,6
10075,6
10076,4
10077,3
10078,1
10079,4
10080,3
10081,1
10082,3
10083,1
10084,6
10085,2
10086,3
10087,3
10088,5
10089,3
10091,2
10092,4
10093,6
10094,3
10095,5
10096,6
10097,3
10098,5
10099,4
10100,3
10101,1
10102,6
10103,3
10104,5
10105,3
10106,2
10107,6
10108,3
10110,3
10111,3
10112,4
10113,3
10114,6
10116,4
10119,6
10120,2
10121,1
10122,4
10123,6
10125,6
10126,3
10127,1
10128,1
10129,2
10130,6
10131,3
10132,3
10133,4
10134,3
10135,2
10136,4
10137,4
10138,4
10139,6
10140,6
10141,5
10142,5
10143,3
10144,3
10145,6
10146,4
10147,3
10148,6
10149,6
10150,4
10151,3
10152,3
10153,5
10154,1
10155,1
10156,6
10157,3
10158,1
10159,3
10160,5
10161,3
10162,3
10163,3
10164,3
10165,3
10166,2
10167,6
10168,3
10170,3
10171,6
10172,4
10174,3
10175,3
10176,1
10177,6
10178,6
10179,6
10180,5
10181,3
10182,2
10183,3
10184,6
10185,6
10186,6
10187,1
10188,4
10189,4
10190,3
10191,3
10193,6
10194,3
10195,3
10196,4
10197,3
10198,1
10200,6
10202,5
10203,4
10204,4
10205,3
10206,5
10207,4
10208,3
10209,3
10210,4
10211,6
10212,1
10213,4
10214,4
10215,3
10216,3
10217,3
10218,2
10219,3
10220,1
10221,3
10222,3
10223,3
10225,3
10227,3
10228,3
10229,3
10230,3
10231,6
10232,1
10233,3
10234,1
10235,4
10236,3
10237,3
10239,3
10240,2
10241,3
10242,4
10243,3
10244,3
10245,1
10246,3
10247,3
10248,3
10249,5
10250,6
10253,4
10254,3
10255,3
10256,3
10257,3
10258,5
10259,3
10260,3
10261,4
10262,3
10264,3
10265,5
10266,3
10267,1
10268,3
10269,5
10270,6
10271,3
10272,3
10273,3
10275,6
10276,1
10277,6
10278,6
10279,2
10280,3
10281,3
10282,3
10283,6
10284,3
10285,6
10286,3
10287,4
10288,3
10289,5
10290,1
10291,6
10292,6
10293,3
10294,3
10295,1
